iteration,epoch,batch_in_epoch,batches_per_epoch,loss_instant,loss_running_avg
3578,22,50,168,0.00018838,0.015458
3583,22,55,168,0.00017371,0.015436
3588,22,60,168,0.00098417,0.015415
3593,22,65,168,6.6377e-05,0.015395
3598,22,70,168,1.7683e-05,0.015373
3603,22,75,168,0.00016985,0.015352
3608,22,80,168,9.5551e-05,0.015333
3613,22,85,168,9.4255e-05,0.015315
3618,22,90,168,8.7297e-05,0.015301
3623,22,95,168,0.00062644,0.015281
3628,22,100,168,0.00030631,0.01526
3633,22,105,168,0.0003481,0.015244
3638,22,110,168,0.00062411,0.015225
3643,22,115,168,0.0015221,0.015209
3648,22,120,168,0.012153,0.015192
3653,22,125,168,0.00036015,0.015171
3658,22,130,168,0.00023012,0.015151
3663,22,135,168,0.00037068,0.015131
3668,22,140,168,0.00021549,0.015112
3673,22,145,168,0.00078767,0.015092
3678,22,150,168,0.00054498,0.015073
3683,22,155,168,0.00015459,0.015053
3688,22,160,168,0.00083397,0.015037
3693,22,165,168,0.00030429,0.015032
3864,24,0,168,0.00026412,0.014434
3869,24,5,168,0.00017086,0.014415
3874,24,10,168,0.00031715,0.014398
3879,24,15,168,0.00053051,0.014379
3884,24,20,168,0.00019218,0.014361
3889,24,25,168,0.00046786,0.014345
3894,24,30,168,0.00050608,0.014333
3899,24,35,168,0.00045095,0.014315
3904,24,40,168,0.00031841,0.0143
3909,24,45,168,0.0084151,0.014284
3914,24,50,168,0.00021317,0.01427
3919,24,55,168,0.00022214,0.014252
3924,24,60,168,0.00018907,0.014234
3929,24,65,168,0.00031882,0.014218
3934,24,70,168,0.0001219,0.0142
3939,24,75,168,6.2577e-05,0.014182
3944,24,80,168,5.3654e-05,0.014167
3949,24,85,168,7.5325e-05,0.014149
3954,24,90,168,7.4439e-05,0.014138
3959,24,95,168,0.00011703,0.01412
3964,24,100,168,4.9301e-05,0.014102
3969,24,105,168,0.00038848,0.014089
3974,24,110,168,0.00012938,0.014077
3979,24,115,168,2.1415e-05,0.014069
3984,24,120,168,0.0052249,0.014081
3989,24,125,168,0.0015845,0.014071
3994,24,130,168,0.00029731,0.014056
3999,24,135,168,0.0010063,0.014045
4004,24,140,168,0.0023091,0.01403
4009,24,145,168,0.00067719,0.014014
