[2024-07-02 13:18:58] [PID 0] [INFO] Load config successfully!
[2024-07-02 13:18:58] [PID 0] [INFO] {'batch_size': 512,
 'ckpt_path': 'checkpoints/checkpoint_0',
 'comment': 'no comments',
 'continuous_train': False,
 'crystal_gnn_config': {'atom_fea_len': 512, 'n_conv': 3},
 'dmin': 0,
 'drop_rate': 0.25,
 'dtype': torch.float32,
 'epochs': 500,
 'experiment_name': '0',
 'figs_train': 'figs/train_0.pdf',
 'head_output_dim': 2,
 'load_pretrain': True,
 'log_batch_freq': 5,
 'log_epoch_freq': 2,
 'log_file': 'logs/out_0.log',
 'lr': 0.001,
 'lr_milestones': [100],
 'max_num_nbr': 12,
 'momentum': 0.9,
 'num_workers': 8,
 'pre_ckpt_path': 'checkpoints/pre_checkpoint_0',
 'precision': 'float32',
 'processed_dir': {'negative': 'processed_negative',
                   'positive': 'processed_positive'},
 'radius': 20,
 'random_seed': 666,
 'ratio': 711,
 'root_dir': 'data',
 'sample_size': 10,
 'save_epoch_freq': 5,
 'shuffle': True,
 'step': 0.2,
 'weight_decay': 0}
[2024-07-02 13:18:58] [PID 0] [INFO] Load data...
[2024-07-02 13:18:58] [PID 0] [INFO] Process...
[2024-07-02 13:19:35] [PID 0] [INFO] Total number of data points: 85590
[2024-07-02 13:19:35] [PID 0] [INFO] Number of batches per epoch: 168
[2024-07-02 13:19:39] [PID 0] [INFO] Train...
[2024-07-02 13:23:13] [PID 0] [INFO] [Train] Epoch [4/500] [85/168]	 BT 0.344 (0.362)	 DT 0.010 (0.021)	 Loss 1.7005e-02 (5.9358e-02)	
[2024-07-02 13:23:14] [PID 0] [INFO] [Train] Epoch [4/500] [90/168]	 BT 0.352 (0.362)	 DT 0.010 (0.020)	 Loss 1.3223e-02 (5.8966e-02)	
[2024-07-02 13:23:16] [PID 0] [INFO] [Train] Epoch [4/500] [95/168]	 BT 0.343 (0.362)	 DT 0.010 (0.020)	 Loss 4.1762e-02 (5.8691e-02)	
[2024-07-02 13:23:18] [PID 0] [INFO] [Train] Epoch [4/500] [100/168]	 BT 0.358 (0.362)	 DT 0.011 (0.020)	 Loss 6.7137e-03 (5.8335e-02)	
[2024-07-02 13:23:20] [PID 0] [INFO] [Train] Epoch [4/500] [105/168]	 BT 0.341 (0.362)	 DT 0.010 (0.020)	 Loss 1.4702e-02 (5.8032e-02)	
[2024-07-02 13:23:21] [PID 0] [INFO] [Train] Epoch [4/500] [110/168]	 BT 0.344 (0.362)	 DT 0.010 (0.020)	 Loss 1.8689e-02 (5.7729e-02)	
[2024-07-02 13:23:23] [PID 0] [INFO] [Train] Epoch [4/500] [115/168]	 BT 0.348 (0.362)	 DT 0.010 (0.020)	 Loss 2.0541e-03 (5.7367e-02)	
[2024-07-02 13:23:25] [PID 0] [INFO] [Train] Epoch [4/500] [120/168]	 BT 0.375 (0.362)	 DT 0.010 (0.020)	 Loss 2.2588e-02 (5.7090e-02)	
[2024-07-02 13:23:27] [PID 0] [INFO] [Train] Epoch [4/500] [125/168]	 BT 0.330 (0.362)	 DT 0.010 (0.020)	 Loss 6.1410e-03 (5.6759e-02)	
[2024-07-02 13:23:28] [PID 0] [INFO] [Train] Epoch [4/500] [130/168]	 BT 0.359 (0.362)	 DT 0.010 (0.020)	 Loss 4.5742e-03 (5.6375e-02)	
